faq_no,subject,question,answer,note,date,up_check,print_check,カテゴリ
46,メモリ・ウィンドウの再表示時にリードする範囲はどの位なのでしょうか？,"プログラム・ブレーク時やメモリ・ウィンドウを最新の情報に更新時、スクロール時に
メモリ内容をリードしていると思いますが、どれくらいの範囲でメモリ・リードしているのでしょうか？","メモリ・ウィンドウがブレークしたときに読み出すメモリ・バイト数は以下の式で求まります。

1行の表示バイト数 * (表示行数 + 8) + 1

例えば2行しか表示していなくても　8*(2+8)+1=81バイト　読み出されます。
この読み出しは変化したメモリに色をつけるためのものです。

また、表示行数は実際に表示されていなくてもメモリが読み出されることがあります。
例えば2行の表示でも、ウィンドウを少し上下に広げると3行目が表示される前にメモリが読み出されます。

ちなみに、スタック・ウィンドウは、1行の表示バイト数 * 表示行数で求まります。",2022/10/07：FAQ検索リニューアルに伴い内容見直しで非公開に変更（真鍋）。,2022/10/11 11:20:25,False,False,
47,ブレークしたときに周辺モジュールのレジスタを確認したい,特定のI/Oレジスタの変化をブレーク時に見たいのですが、どのようにすれば見ることができますか？,"I/Oウィンドウに対象となるレジスタを登録することで、プログラムがブレークしたときのレジスタの内容を確認することができます。特定ビットだけに注目したい場合は、表示するビット位置を指定することもできます。例えば、ポート・サイズが16bitの場合、”0xFFFF”と指定すると16bit幅分が表示され、”0xFF00”とすると上位8bitのみが表示されます。

◆関連FAQ
[No.000339] 【https://www.computex.co.jp/support/faq/Members/qa?no=339】I/Oウィンドウで使用する定義ファイルは提供されていますか【/a】",,2025/07/08 16:19:21,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
55,コード・ウィンドウを開くと「ソース・ファイルを指定してください。」というメッセージが表示される,"コード・ウィンドウを開くと「ソース・ファイルを指定してください。」というメッセージが表示される。
[いいえ]を選択すると、画面が真っ白（何も表示されない）になる。","デバッグ情報に含まれているソース・ファイルのパス情報と、CSIDEが動作しているパソコンのフォルダ構成が一致していない可能性があります。
コード・ウィンドウを開いたときに表示されるメッセージに、表示できないソース・ファイルのパスが表示されていますので、その内容を元にソース・ファイルのパスを設定してください。
[はい]ボタンをクリックすると、ソース・ファイルのパスを設定するファイル・ダイアログが表示されます。
[いいえ]を選択した場合は、コード・ウィンドウには何も表示されません。この状態からソース・ファイルを表示させるには、再ロードを行って上記メッセージが表示されたときに[はい]を選択してソース・ファイルのパス設定を行うか、設定メニュー &gt; [CSIDEの設定] &gt; [ファイル]の[ソース・パスの置換]で、ソース・ファイルの置換パスを設定してください。",,2023/01/10 9:46:58,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
57,SH7615/SH7616でBSCレジスタが有効にできない,"SH7615/SH7616をH-UDI接続でデバッグをしていますが、BSCレジスタの設定が出来ません。SH7615/SH7616のハードウェア・マニュアルに記載されているアドレスに設定を行なっているのですが設定が有効になりません。

ルネサス、SuperH、SH","SH7615/SH7616のハードウェア・マニュアルには記載されていませんが、H-UDIを使用してデバッグを行っているときは、ブレーク中のBSCレジスタのアドレスは以下のように変わります。
　・H&#39;FFFFFFC0 - H&#39;FFFFFFFF　　// ハードウェア・マニュアル記載のアドレス
　　　　　 ↓
　・H&#39;FFFFFDC0 - H&#39;FFFFFDFF　　// ブレーク中に設定する場合のアドレス
　※アドレスが変わるのはブレーク中のみで、実行中は元のアドレスのままです。",,2022/11/21 11:28:14,True,True,JTAGエミュレータ(SH・RX・H8S系)
66,ファイル・ロードのとき「ファイル・フォーマットが不正です」といったエラーが表示される,ファイルロードを行うと、「シンボル・バッファが一杯です」や「ファイル・フォーマットが不正です」といったエラー・メッセージが表示され、ダウンロードを行なうことができないのですが、何か設定が必要なのでしょうか。,CSIDEでデバッグを行うには、デバッグに必要なコンパイル・オプションを設定する必要があります。コンパイル・オプションの設定に誤りがあると、デバッグ情報が正しく読み込めすにエラーとなる場合があります。CSIDEヘルプの[コンパイラ・サポート]に、デバッグ時に必要なコンパイラのオプション設定の説明があるので、設定に誤りがないか確認してください。また、CSIDEのバージョンが古いためコンパイラが生成するオブジェクトに対応できていない場合もあります。CSIDEは常に最新バージョンをご使用ください。,,2022/11/21 11:32:34,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
69,NORTiVer.4ではオプティマイズが必要となっているけどオプティマイズを有効にしてもデバッグに影響はないですか,NORTiVer.4ではコンパイル時に、オプティマイズをする必要があるとされていますが、CSIDEでは、逆にオンラインマニュアル等でオプティマイズは行わない設定にするよう記載があります。オプティマイズの設定はどちらにすれば良いのでしょうか。,オプティマイズを有効にすると、コンパイラが出力するデバッグ情報が欠落したりローカル変数が表示できなくなったりするので、デバッガとしてはオプティマイズを外していただくよう推奨しています。NORTiVer.4がオプティマイズを付けるように指示があるのは割り込みハンドラ部分のソースに関してだけで、その他はオプティマイズを外しても問題ありません。,,2022/11/21 11:37:52,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
79,カーソルの移動キーはどうなっていますか？,カーソルの移動キーはどうなっていますか？,"カーソルの移動はWindowsの標準キーに準拠しています。
------------------------------------------------
キー　　　　　　　　　　　　動作
------------------------------------------------
カーソル・キー　　　　　　　　カーソル移動
Shift+カーソル・キー　　　　　領域選択
Ctrl+右カーソル・キー 　　　　単語単位で右に移動
Ctrl+左カーソル・キー 　　　　単語単位で左に移動
Ctrl+上カーソル・キー 　　　　１行スクロール・ダウン
Ctrl+下カーソル・キー 　　　　１行スクロール・アップ
PageUpキー　　　　　　　　　前ページへ移動
PageDownキー　　　　　　　　後ページへ移動
Homeキー　　　　　　　　　　先頭の行へ移動
Endキー 　　　　　　　　　　最後の行へ移動
Shift+Ctrl+右カーソル・キー 　単語単位で右に選択
Shift+Ctrl+左カーソル・キー 　単語単位で左に選択
Shift+PageUpキー　　　　　　前ページ選択
Shift+PageDownキー　　　　　後ページ選択
Shift+Homeキー　　　　　　　先頭まで選択
Shift+Endキー 　　　　　　　最後まで選択
------------------------------------------------",,2022/10/11 14:55:20,False,False,
80,ソース・ファイルのタブ・サイズを変えたい,エディタ・ウィンドウやコードウィンドウ上で、ソース・ファイルのタブの表示サイズを変更することは可能でしょうか。,エディタ・ウィンドウやコード・ウィンドウの右クリック・メニューにある[プロパティ]で変更できます。,,2022/10/11 15:13:12,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
Linuxアプリケーション・デバッガ(C-Shark)"
84,ウィンドウ内で使用する色とフォントを変更したい,ウィンドウ内で使用する色とフォントを変更することはできますか？,"各ウィンドウの右クリック・メニューにある[プロパティ]で、色やフォントやタブ・サイズを変更することができます。
色とフォントは、設定メニューの[CSIDEの設定]から設定することもできます。",,2022/11/21 11:39:19,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
Linuxアプリケーション・デバッガ(C-Shark)"
88,H-UDIパフォーマンス測定のプログラムの実行時間が正確でない？,"H-UDIパフォーマンス測定で、プログラムの実行時間測定が正しい値を示していないように思うのですが、何か他の設定が影響することなどがあるのでしょうか？

ルネサス、SuperH、SH、H8S","H-UDIパフォーマンス測定と分岐トレースを併用すると、正しい値が測定できないことがあります。分岐トレース機能をトレース優先モードや36分岐で取得している場合、トレース情報を取得するのにリアルタイム性が損なわれることがあるためです。この場合、分岐トレース機能を無効にしてください。
",,2022/11/21 11:51:02,True,True,JTAGエミュレータ(SH・RX・H8S系)
89,ルネサステクノロジ製以外のコンパイラを使用する場合、SH7055のモニタ・プログラムをカスタマイズする必要はありますか,"ルネサステクノロジ製以外のコンパイラを使用してモニタプログラムをコンパイルしているのですが、ルネサスエレクトロニクス用のモニタプログラムしかないようなのですが、どうすればよいのでしょうか？

ルネサス、SuperH、SH",ターゲット・システムに合わせてモニタ・プログラムのカスタマイズが必要です。CSIDEに付属のモニタ・プログラムは、ルネサスエレクトロニクス製アセンブラ／Cコンパイラに合わせて記述されていますので、他のコンパイラ／アセンブラを使用する場合はソース・ファイルの変更が必要となります。ご使用されるコンパイラ／アセンブラに応じてソースを変更してください。,,2022/11/21 11:58:15,True,True,JTAGエミュレータ(SH・RX・H8S系)
90,アクセス・サイズに制限のあるメモリ領域に書き込みを行うには,16ビットや32ビットでしかアクセスできないなど、アクセス・サイズに制限のあるメモリ領域へのダウンロードや書き込みはできないのでしょうか。,メモリ・マッピングの設定画面にある[CSIDEからのアクセス・サイズを固定する]を有効にすることで、CSIDEからターゲットへのアクセス・サイズを固定させることができます。例えば、16bitアクセスしかできないメモリ空間を設定を行うには、[CSIDEからのアクセス・サイズを固定する]にチェックを入れてその下にある[16ビット]を選択します。,,2022/11/21 12:52:39,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
93,一般例外の発生場所や要因を知りたい,"デバッグ中のプログラムで一般例外が発生しており、例外が発生した場所や要因を調べたいのですが、どのようにすればできますか。

ルネサス、SuperH、SH","SuperHシリーズでは、SSRとSPCレジスタに割り込みがかかったときのアドレスが格納されていますので、レジスタ・ウィンドウでSSRとSPCを確認してください。割込み要因は、INTEVTとEXTEVTの割り込み要因レジスタで確認することができます。

また、AUDモデルの場合は分岐トレース機能を使用して調べる方法があります。
一般例外のベクタ・アドレスにブレーク・ポイントを設定してプログラムを実行すると、一般例外が発生したときにブレークするので、リアルタイム・トレース・ウィンドウを開いてトレースの内容を確認することで、プログラムのどこで一般例外が発生したのかを調べることができます。
",,2022/10/11 16:33:13,True,True,JTAGエミュレータ(SH・RX・H8S系)
96,PALMiCEとSH7055とのH-UDI通信でタイムアウト・エラーとなる,"PALMiCE SH7055で、CPUとPALMiCE間の初期化にて、PALMiCEとターゲットCPUとのH-UDI通信でタイム・アウト・エラーが発生するのですが、どこをチェックすればよいのでしょうか？

ルネサス、SuperH、SH","SH7055のH-UDIを使用したデバッグは、モニタ・プログラムをターゲット・ボードにあわせてカスタマイズし内蔵フラッシュメモリに書き込む必要があります。CSIDE付属のモニタ・プログラムは、当社製SH7055評価ボード用にカスタマイズされたものです。モニタ・プログラムが書き込まれていない場合や、ターゲットボード用にカスタマイズされていない場合では、PALMiCEとCPUとの間で通信が行なえずエラーとなります。
PALMiCE SH7055シリーズユーザーズ・マニュアルのモニタ・プログラムのカスタマイズに関する項目とソース・プログラムをご参照いただき、ご使用になるターゲット・ボードにあわせてカスタマイズと書き込みを行ってください。",,2022/11/22 16:01:14,True,True,JTAGエミュレータ(SH・RX・H8S系)
97,シリアル・コミュニケーション・インタフェース（SCI）など各種設定を行なう内蔵I/Oの設定が行えない,シリアル・コミュニケーション・インタフェース（SCI）など各種設定を行なう内蔵I/Oの設定が行なえません。CSIDEではCPUの内蔵I/Oのアクセスは不可能でしょうか？,"消費電力を抑えるために低消費電力状態のモードを持つCPUの場合、設定を行うモジュールが低消費電力状態のため無効となっていることが考えられます。内蔵モジュール（内蔵ペリフェラル）の設定を行なうには、使用したいモジュールが有効になっているかご確認ください。
詳しい設定方法については、ご使用のCPUのハードウェア・マニュアルをご参照ください。",,2022/11/22 10:50:51,True,True,JTAGエミュレータ(SH・RX・H8S系)
98,フラッシュメモリのプログラムを実行するときにステータス・バーにフラッシュメモリへの書き込み状況が表示される,"フラッシュメモリにプログラムをダウンロードして使用しています。
プログラムを実行すると、CSIDE左下のステータス・バーの部分にフラッシュメモリのイレース（消去）・ライト（書き込み）・ベリファイを行っているメッセージが表示されて、動作するまでにしばらく時間がかかります。

SBP、パラレルNORフラッシュメモリ、SPIフラッシュメモリ、内蔵フラッシュメモリ、シリアルNORフラッシュメモリ","フラッシュメモリにソフトウェア・ブレーク・ポイントが設定されていると、ソフトウェア・ブレーク・ポイント用の命令コードに置換するための書き換えが発生するため、その書き換え状況がステータス・バーに表示されます。また、フラッシュメモリの書き換え動作が入るので、通常の実行／ブレーク処理に比べて時間がかかります。
フラッシュメモリへのソフトウェア・ブレーク・ポイントの設定を禁止したい場合は、ファイル・メニュー &gt; [フラッシュメモリ・マップ]にある[フラッシュメモリへのソフトウェア・ブレークの設定を許可する]のチェックを外します。
また、CPUブレーク機能を使用すると命令コードの書き換えが発生しないので、通常はCPUブレークを使用することを推奨します。",,2024/11/14 11:28:37,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
100,外部接続のパラレルNORフラッシュメモリの書き込みを行うとエラーが発生する,パラレルNORフラッシュメモリの書き込みを行うと、消去エラーや書き込みエラーが発生する。,"書き込みや消去を阻害する要因が無いかご確認ください。
・デバイスのセキュリティ機能で書き込みが禁止されていないか
・ターゲットボードの設定で書き込みが禁止されていないか
・フラッシュメモリが割付けられているアドレス空間の設定に誤りがないか
　→ CSIDEはCPUを介して書き込みを行うため、CPUからフラッシュメモリに対して正しくアクセスできないと書き込みを行う事ができません。
・ソフトウェア的な処理で書き込みを禁止していないか
　→ マクロやセクタ・ブロック毎に実行するマクロ登録コマンド(FlashBeforExecMacro())を用いて書き込みを許可してください。",,2022/11/22 11:28:15,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
101,外部接続のパラレルNORフラッシュメモリへダウンロードすると同じデータが他のアドレスにも書き込まれる,外部接続のパラレルNORフラッシュメモリへファイルをダウンロードした後、メモリの内容をダンプすると同じデータが他のアドレス（0番地と100000番地が同じ）にも書き込まれている。,"フラッシュメモリに接続されているアドレス・バスの上位が無効になっていることが考えられます。そのため、有効なアドレス範囲で同じ領域をアクセスすることになるので、同じところへ書き込まれます。例えばA20が無効な場合、0番地と100000番地が同じ領域となり、100000番地への書き込みは0番地に対して行われます。
また、フラッシュメモリ定義を追加している場合は、セクタブロック構成の設定を間違っていると、同じデータが他のアドレスにも書き込まれることがあります。
",,2022/11/22 11:33:40,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
102,外部接続のパラレルNORフラッシュメモリの書き込みでモニタを使用すると書き込みできない,"外部接続のパラレルNORフラッシュメモリの書き込みでモニタを使用しなければ書き込みできるが、モニタを使用すると書き込みができない。

ウォッチドッグ、ウォッチ・ドッグ","モニタの配置アドレスから使用領域分のメモリが正しくアクセスできるか、またこの領域でプログラム実行が可能か確認してください。
また、ウォッチドッグ・タイマが機能している場合は、書き込み中にウォッチドッグ・タイマをクリアする設定（FlashExecPortOutCommandコマンド）を行ってください。",,2022/10/13 15:42:52,True,True,JTAGエミュレータ(ARM系)
103,逆アセンブル表示を自動モードにしているがARMモードやThumbモードが正しく表示されない,コード・ウィンドウでのニーモニック表示のARMモードやThumbモードの切替を自動モードで使用しているが、ニーモニックが正しく表示されない。,自動モードでは、デバッグ情報を元にARMモードやThumbモードの判断を行っています。ライブラリやデバッグ情報を出力していないファイルなど、デバッグ情報の無い領域は判断できないため、ARMコードを表示します。デバッグ情報の無い領域で正しいニーモニック表示を行うには、設定メニュー &gt; [アドレス範囲と種別の設定]で、その領域と種別を設定します。,,2022/11/22 11:36:40,True,True,JTAGエミュレータ(ARM系)
104,関数スタックでトレース機能を有効にしているのに何も表示されない,"関数スタックでトレース機能を有効にしてターゲット・プログラムを実行／ブレークしたが、関数スタック・ウィンドウに何も表示されない。

CPUトレース","関数スタック・ウィンドウの右クリック・メニュー &gt; [トレースの設定]の[トレースバッファの選択]または[トレース・データ出力先]で、トレース・データの出力先を確認してください。
・ETMの場合：[ICEに搭載されているトレース・メモリに取得する]または[トレース・ピン（ETM）]を選択
・ETBやETFの場合：[オンチップ内にあるトレース・メモリに取得する(ETB/ETF)]または[トレース・バッファ（ETB/ETF）]を選択
取得データを解析して表示するには、関数スタック・ウィンドウの中央にある[トレース・メモリを解析する]ボタンをクリックします。

また、トレース信号が出力設定になっていない可能があります。評価済みのリファレンス・ボードでETMやETB機能が実装されている場合は、システム・メニューにETMトレース機能やETB等を有効にするメニューが用意されているます。",,2022/11/22 11:49:50,True,True,JTAGエミュレータ(ARM系)
105,メモリを表示した状態でボードの初期化途中でブレークするとタイムアウト・エラーが発生する,メモリ・ウィンドウを表示してボードの初期化プログラムの途中でブレークさせると、タイムアウト・エラーが発生してデバッグが継続できない。,"ボードの初期化が終了しないとアクセスできない領域をメモリ・ウィンドウで表示していることが考えられます。
■ARM系の場合
メモリ・ウィンドウでそのメモリ領域を表示しないかメモリ・ウィンドウを閉じてください。または、そのエリアのマッピングを禁止状態にしてください。初期化プログラムが終了した後にマッピングを有効にするには、[ターゲット・システムの設定]ウィンドウでマッピングを許可にした後、[マッピング情報の更新]ボタンをクリックして設定を有効にします。

■ルネサス系CPU（SH 、RX、H8S）の場合
メモリ・ウィンドウでそのメモリ領域を表示しないかメモリ・ウィンドウを閉じてください。",,2023/01/10 9:49:31,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
113,ソース・ファイルの編集を外部エディタで行いたい,"・ワークスペース・ウィンドウからソース・ファイルを開くと内部エディタで開かれますが、これを外部エディタを使用して編集したい。
・[CSIDEの設定]で外部エディタの設定を行なってもワークスペース・ウィンドウ内のソース・ファイルを開くと内蔵エディタで開かれてしまうのですが、どうしたらよいのでしょうか。","・コード・ウィンドウの場合
設定メニュー &gt; [CSIDEの設定] &gt; [その他]タブの[外部エディタを使用する]を有効にしてその下にある外部エディタを設定した後、コード・ウィンドウの右クリック・メニュー &gt; [エディタで編集]で外部エディタが起動します。

・ワークスペース・ウィンドウの[デバッグ]タブの場合
設定メニュー &gt; [CSIDEの設定] &gt; [その他]タブの[外部エディタを使用する]を有効にしてその下にある外部エディタを設定した後、編集対象のファイル名をダブルクリックすると外部エディタが起動します。

・ワークスペース・ウィンドウの[ビルド]タブの場合
ビルド・メニュー &gt; [コンパイラ・パッケージの設定] &gt; [拡張子情報]ボタン &gt; 外部エディタで編集したい拡張子の行を選択 &gt; [変更]ボタン &gt; [ワークスペース・ツール]の右端にある[...]で外部エディタを設定した後、編集対象のファイル名をダブルクリックすると外部エディタが起動します。",,2022/11/22 14:22:04,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
114,SH7055で代替ベクタを使用せずにデバッグしたい,PALMiCE-SH7055で、代替ベクタを使用すると割り込み時にモニタを経由する為オーバーヘッドが発生するため、代替ベクタを使用せずにデバッグしたいのですが、良い方法はありますか？,"VBRを移動することで代替ベクタを使用せずにデバッグできるようになります。
その場合、(1)～(3)の手順で変更してください。

(1)ユーザ・プログラムのベクタにモニタへジャンプする為のアドレスを設定する必要があります。
VBR移動時に必要となるベクタは、下記の4点です。
　------------------------------------------------------
　　　ベクタ番号4（H&#39;10）一般不当命令
　　　ベクタ番号8（H&#39;20）H-UDIブレーク・ベクタ
　　　ベクタ番号12（H&#39;30）ユーザ・ブレーク
　　　ベクタ番号14（H&#39;38）H-UDI通信割り込み
　------------------------------------------------------
メモリ・ウィンドウを32bit表示させ、上記ベクタ番号のベクタ・アドレスを参照し、モニタへジャンプする為のアドレスを控えてください。
控えていただいた値をユーザ・ベクタのそれぞれに直値で代入してください。

(2)ユーザ・プログラムの先頭で、VBRをユーザ・ベクタ（例：H&#39;400000）へ移動してください。

(3)バージョンによってmon_705x.srcの一部に誤りがありますのでご確認ください。
　------------------------------------------------------
　2990：　lds.l　@r0+,mach　　　; Restore VBR　&#215;：誤り
　　　　　　　　　　　↓
　　　　　ldc.l　@r0+,vbr　　　; Restore VBR　○：正解
　------------------------------------------------------

これで代替ベクタを使用せずにデバッグしていただけます。",,2022/10/21 14:34:20,False,False,
